Tree_sp,Seed_size,Tree_id,Forest_type,Latitude,Longitude,Start_date,End_date,Num_days,Intact,Vertebrate_pred,Invertebrate_pred,Removed
Canarium strictum,Large,CAST01,Fragments,10.36008404,76.99823211,19-03-18,28-05-18,70,40,0,0,0
Canarium strictum,Large,CAST02,Benchmark,10.343269,76.903401,19-03-18,30-05-18,72,39,0,0,1
Canarium strictum,Large,CAST03,Benchmark,10.34706208,76.89803618,19-03-18,30-05-18,72,37,0,0,1
Canarium strictum,Large,CAST04,Fragments,10.349,76.933,19-03-18,28-05-18,70,40,0,0,0
Canarium strictum,Large,CAST05,Fragments,10.34842322,76.93261187,19-03-18,28-05-18,70,36,1,0,3
Canarium strictum,Large,CAST06,Benchmark,10.36404608,76.99816832,19-03-18,25-05-18,67,39,0,0,1
Canarium strictum,Large,CAST07,Benchmark,10.36570217,76.99682713,19-03-18,28-05-18,70,37,0,0,3
Canarium strictum,Large,CAST08,Fragments,10.37099124,76.99324035,19-03-18,28-05-18,70,38,0,0,2
Canarium strictum,Large,CAST09,Fragments,10.314388,76.830726,15-11-17,20-04-18,156,39,0,0,1
Canarium strictum,Large,CAST10,Fragments,10.314,76.831,09-11-17,20-04-18,162,33,1,1,5
Canarium strictum,Large,CAST11,Fragments,10.347,76.934,16-11-17,16-04-18,151,13,23,3,1
Myristica dactyloides,Large,MYDA01,Fragments,10.308,76.834,20-04-18,30-05-18,40,1,0,38,2
Myristica dactyloides,Large,MYDA02,Benchmark,10.373,76.994,24-04-18,28-05-18,34,1,13,1,26
Myristica dactyloides,Large,MYDA03,Benchmark,10.374,76.993,24-04-18,08-05-18,14,0,5,0,35
Myristica dactyloides,Large,MYDA04,Benchmark,10.374,76.993,24-04-18,09-05-18,15,0,12,0,28
Myristica dactyloides,Large,MYDA05,Fragments,10.348,76.935,25-04-18,22-05-18,27,0,5,18,17
Myristica dactyloides,Large,MYDA06,Fragments,10.348,76.934,24-04-18,08-05-18,14,0,16,0,24
Myristica dactyloides,Large,MYDA07,Fragments,10.315,76.831,28-04-18,07-05-18,9,0,0,0,40
Myristica dactyloides,Large,MYDA08,Fragments,10.309,76.834,20-04-18,30-05-18,40,0,1,36,3
Myristica dactyloides,Large,MYDA09,Fragments,10.349,76.933,29-04-18,08-05-18,9,0,4,0,36
Myristica dactyloides,Large,MYDA10,Fragments,10.367,76.936,30-04-18,28-05-18,28,0,6,31,3
Myristica dactyloides,Large,MYDA11,Benchmark,10.396,76.871,02-05-18,29-05-18,27,4,4,19,13
Myristica dactyloides,Large,MYDA12,Benchmark,10.397,76.878,05-05-18,29-05-18,24,7,3,17,13
Myristica dactyloides,Large,MYDA13,Benchmark,10.398,76.876,05-05-18,29-05-18,24,12,4,2,17
Persea macrantha,Medium,PEMA01,Fragments,10.347,76.931,14-04-18,08-05-18,24,0,33,2,5
Persea macrantha,Medium,PEMA02,Fragments,10.347,76.932,14-04-18,08-05-18,24,0,35,2,3
Persea macrantha,Medium,PEMA03,Fragments,10.349,76.931,14-04-18,28-05-18,44,0,30,9,1
Persea macrantha,Medium,PEMA04,Fragments,10.363,76.996,16-04-18,28-05-18,42,0,19,19,1
Persea macrantha,Medium,PEMA05,Fragments,10.363,76.996,16-04-18,28-05-18,42,0,20,18,2
Persea macrantha,Medium,PEMA06,Benchmark,10.375,76.994,16-04-18,28-05-18,42,0,14,20,5
Persea macrantha,Medium,PEMA07,Benchmark,10.368,76.99612549,16-04-18,22-05-18,36,0,24,15,0
Persea macrantha,Medium,PEMA08,Benchmark,10.369,76.99677282,16-04-18,28-05-18,42,0,21,14,3
Persea macrantha,Medium,PEMA09,Benchmark,10.367,76.99661449,16-04-18,28-05-18,42,0,8,30,0
Persea macrantha,Medium,PEMA10,Benchmark,10.369,76.99374637,16-04-18,28-05-18,42,0,28,8,4
Persea macrantha,Medium,PEMA11,Benchmark,10.395,76.871697,01-04-18,02-05-18,31,2,32,0,6
Persea macrantha,Medium,PEMA12,Benchmark,10.400,76.873641,01-04-18,02-05-18,31,21,7,10,2
Persea macrantha,Medium,PEMA13,Benchmark,10.40776617,76.87607006,31-03-18,02-05-18,32,14,19,7,0
Heynea trijuga,Medium,HETR01,Fragments,10.34871893,76.93270876,02-12-17,06-02-18,66,0,27,0,13
Heynea trijuga,Medium,HETR02,Benchmark,10.37585526,76.98942985,11-12-17,08-02-18,59,0,6,0,34
Heynea trijuga,Medium,HETR03,Benchmark,10.37579315,76.9894343,18-12-17,08-02-18,52,0,29,0,11
Heynea trijuga,Medium,HETR04,Fragments,10.34869647,76.93027373,21-12-17,08-05-18,138,0,21,1,18
Heynea trijuga,Medium,HETR05,Fragments,10.34856252,76.93137855,04-01-18,26-02-18,53,0,33,0,7
Heynea trijuga,Medium,HETR06,Benchmark,10.375232,76.9889,05-01-18,08-02-18,34,0,9,0,31
Heynea trijuga,Medium,HETR07,Fragments,10.30932181,76.83336544,06-01-18,29-01-18,23,0,27,0,13
Heynea trijuga,Medium,HETR08,Fragments,10.34699025,76.92948843,10-01-18,29-04-18,109,0,12,0,28
Heynea trijuga,Medium,HETR09,Fragments,10.394835,76.992848,12-01-18,08-02-18,27,0,20,0,20
Heynea trijuga,Medium,HETR10,Benchmark,10.347825,76.898707,20-01-18,03-02-18,14,0,14,0,26
Heynea trijuga,Medium,HETR11,Benchmark,10.35567968,76.89274284,20-01-18,03-02-18,14,0,1,0,39
