Tree_sp,Common_species,Scientific_name,Number_of_visits
Canarium strictum,Jungle-striped squirrel,Funambulus tristriatus,80
Canarium strictum,Indian muntjac,Muntiacus muntjak,49
Canarium strictum,Sahyadris forest rat,Rattus satarae,37
Canarium strictum,Indian spotted chevrotain,Moschiola indica,15
Canarium strictum,Malabar spiny dormouse,Platacanthomys lasiurus,2
Canarium strictum,Murid sp1,Murid sp1,1
Canarium strictum,Rattus sp_unid,Rattus sp_unid,1
Heynea trijuga,Sahyadris forest rat,Rattus satarae,306
Heynea trijuga,Indian spotted chevrotain,Moschiola indica,57
Heynea trijuga,Murid sp1,Murid sp1,7
Heynea trijuga,Indian muntjac,Muntiacus muntjak,6
Heynea trijuga,Jungle-striped squirrel,Funambulus tristriatus,3
Heynea trijuga,Murid sp2,Murid sp2,3
Heynea trijuga,Wild pig,Sus scrofa,2
Heynea trijuga,Indian porcupine,Hystrix indica,1
Heynea trijuga,Rattus sp_unid,Rattus sp_unid,1
Myristica dactyloides,Jungle-striped squirrel,Funambulus tristriatus,98
Myristica dactyloides,Malabar spiny dormouse,Platacanthomys lasiurus,74
Myristica dactyloides,Indian muntjac,Muntiacus muntjak,21
Myristica dactyloides,Sahyadris forest rat,Rattus satarae,15
Myristica dactyloides,Indian spotted chevrotain,Moschiola indica,11
Myristica dactyloides,Indian porcupine,Hystrix indica,6
Persea macrantha,Sahyadris forest rat,Rattus satarae,75
Persea macrantha,Indian spotted chevrotain,Moschiola indica,15
Persea macrantha,Jungle-striped squirrel,Funambulus tristriatus,11
Persea macrantha,Indian porcupine,Hystrix indica,5
Persea macrantha,Indian muntjac,Muntiacus muntjak,4
Persea macrantha,Malabar spiny dormouse,Platacanthomys lasiurus,1
Persea macrantha,Wild pig,Sus scrofa,1
