Tree_sp,Tree_id,Forest_type,CT_trap_nights,Visitor_sp_common_name,Visitor_sp_scientific_name,Body_size,Num_visits
Canarium strictum,CAST03,Benchmark,35,Jungle striped squirrel,Funambulus tristriatus,Small,4
Canarium strictum,CAST03,Benchmark,35,Murid sp1,Murid sp1,Small,1
Canarium strictum,CAST03,Benchmark,35,Sahyadris forest rat,Rattus satarae,Small,6
Canarium strictum,CAST04,Fragments,40,Indian muntjac,Muntiacus muntjak,Large,8
Canarium strictum,CAST04,Fragments,40,Jungle striped squirrel,Funambulus tristriatus,Small,18
Canarium strictum,CAST04,Fragments,40,Malabar spiny dormouse,Platacanthomys lasiurus,Small,1
Canarium strictum,CAST04,Fragments,40,Indian spotted chevrotain,Moschiola indica,Large,5
Canarium strictum,CAST04,Fragments,40,Sahyadris forest rat,Rattus satarae,Small,15
Canarium strictum,CAST05,Fragments,37,Indian muntjac,Muntiacus muntjak,Large,30
Canarium strictum,CAST05,Fragments,37,Jungle striped squirrel,Funambulus tristriatus,Small,46
Canarium strictum,CAST05,Fragments,37,Sahyadris forest rat,Rattus satarae,Small,7
Canarium strictum,CAST07,Benchmark,28,Jungle striped squirrel,Funambulus tristriatus,Small,2
Canarium strictum,CAST07,Benchmark,28,Sahyadris forest rat,Rattus satarae,Small,2
Canarium strictum,CAST10,Fragments,65,Indian muntjac,Muntiacus muntjak,Large,3
Canarium strictum,CAST10,Fragments,65,Jungle striped squirrel,Funambulus tristriatus,Small,1
Canarium strictum,CAST10,Fragments,65,Malabar spiny dormouse,Platacanthomys lasiurus,Small,1
Canarium strictum,CAST10,Fragments,65,Indian spotted chevrotain,Moschiola indica,Large,9
Canarium strictum,CAST10,Fragments,65,Sahyadris forest rat,Rattus satarae,Small,6
Canarium strictum,CAST11,Fragments,62,Indian muntjac,Muntiacus muntjak,Large,8
Canarium strictum,CAST11,Fragments,62,Jungle striped squirrel,Funambulus tristriatus,Small,9
Canarium strictum,CAST11,Fragments,62,Indian spotted chevrotain,Moschiola indica,Large,1
Canarium strictum,CAST11,Fragments,62,Sahyadris forest rat,Rattus satarae,Small,2
Canarium strictum,CAST11,Fragments,62,Rattus sp_unid,Rattus sp_unid,Small,1
Myristica dactyloides,MYDA02,Benchmark,6,Indian muntjac,Muntiacus muntjak,Large,1
Myristica dactyloides,MYDA02,Benchmark,6,Malabar spiny dormouse,Platacanthomys lasiurus,Small,1
Myristica dactyloides,MYDA05,Fragments,20,Indian muntjac,Muntiacus muntjak,Large,17
Myristica dactyloides,MYDA05,Fragments,20,Jungle striped squirrel,Funambulus tristriatus,Small,15
Myristica dactyloides,MYDA05,Fragments,20,Malabar spiny dormouse,Platacanthomys lasiurus,Small,11
Myristica dactyloides,MYDA05,Fragments,20,Indian spotted chevrotain,Moschiola indica,Large,1
Myristica dactyloides,MYDA05,Fragments,20,Indian crested porcupine,Hystrix indica,Large,4
Myristica dactyloides,MYDA05,Fragments,20,Sahyadris forest rat,Rattus satarae,Small,1
Myristica dactyloides,MYDA06,Fragments,5,Jungle striped squirrel,Funambulus tristriatus,Small,7
Myristica dactyloides,MYDA06,Fragments,5,Malabar spiny dormouse,Platacanthomys lasiurus,Small,9
Myristica dactyloides,MYDA07,Fragments,9,Indian muntjac,Muntiacus muntjak,Large,1
Myristica dactyloides,MYDA07,Fragments,9,Malabar spiny dormouse,Platacanthomys lasiurus,Small,22
Myristica dactyloides,MYDA07,Fragments,9,Indian spotted chevrotain,Moschiola indica,Large,3
Myristica dactyloides,MYDA07,Fragments,9,Indian crested porcupine,Hystrix indica,Large,1
Myristica dactyloides,MYDA09,Fragments,9,Jungle striped squirrel,Funambulus tristriatus,Small,23
Myristica dactyloides,MYDA09,Fragments,9,Malabar spiny dormouse,Platacanthomys lasiurus,Small,16
Myristica dactyloides,MYDA09,Fragments,9,Indian spotted chevrotain,Moschiola indica,Large,1
Myristica dactyloides,MYDA09,Fragments,9,Sahyadris forest rat,Rattus satarae,Small,3
Myristica dactyloides,MYDA11,Benchmark,27,Jungle striped squirrel,Funambulus tristriatus,Small,16
Myristica dactyloides,MYDA11,Benchmark,27,Sahyadris forest rat,Rattus satarae,Small,8
Myristica dactyloides,MYDA12,Benchmark,24,Indian muntjac,Muntiacus muntjak,Large,2
Myristica dactyloides,MYDA12,Benchmark,24,Jungle striped squirrel,Funambulus tristriatus,Small,31
Myristica dactyloides,MYDA12,Benchmark,24,Malabar spiny dormouse,Platacanthomys lasiurus,Small,9
Myristica dactyloides,MYDA12,Benchmark,24,Indian spotted chevrotain,Moschiola indica,Large,4
Myristica dactyloides,MYDA12,Benchmark,24,Sahyadris forest rat,Rattus satarae,Small,1
Myristica dactyloides,MYDA13,Benchmark,24,Jungle striped squirrel,Funambulus tristriatus,Small,6
Myristica dactyloides,MYDA13,Benchmark,24,Malabar spiny dormouse,Platacanthomys lasiurus,Small,6
Myristica dactyloides,MYDA13,Benchmark,24,Indian spotted chevrotain,Moschiola indica,Large,2
Myristica dactyloides,MYDA13,Benchmark,24,Indian crested porcupine,Hystrix indica,Large,1
Myristica dactyloides,MYDA13,Benchmark,24,Sahyadris forest rat,Rattus satarae,Small,2
Persea macrantha,PEMA02,Fragments,16,Jungle striped squirrel,Funambulus tristriatus,Small,1
Persea macrantha,PEMA02,Fragments,16,Indian spotted chevrotain,Moschiola indica,Large,5
Persea macrantha,PEMA02,Fragments,16,Sahyadris forest rat,Rattus satarae,Small,4
Persea macrantha,PEMA06,Benchmark,42,Jungle striped squirrel,Funambulus tristriatus,Small,8
Persea macrantha,PEMA06,Benchmark,42,Malabar spiny dormouse,Platacanthomys lasiurus,Small,1
Persea macrantha,PEMA06,Benchmark,42,Indian spotted chevrotain,Moschiola indica,Large,2
Persea macrantha,PEMA06,Benchmark,42,Sahyadris forest rat,Rattus satarae,Small,71
Persea macrantha,PEMA08,Benchmark,23,Indian spotted chevrotain,Moschiola indica,Large,2
